,0,1
0,"Civil Service Cricket Club, Stormont, Belfast-Ireland",177
1,"Lord's, London-England",233
2,"Kennington Oval, London-England",246
3,"Riverside Ground, Chester-le-Street-England",214
4,"Grange Cricket Club, Raeburn Place, Edinburgh-Scotland",206
5,"Old Trafford, Manchester-England",206
6,"Headingley, Leeds-England",283
7,"VRA Ground, Amstelveen-Netherlands",225
8,Harare Sports Club-Zimbabwe,214
9,"Cambusdoon New Ground, Ayr-Scotland",163
10,"Toronto Cricket, Skating and Curling Club-Canada",189
11,"Gymkhana Club Ground, Nairobi-Kenya",193
12,"Sinhalese Sports Club Ground, Colombo-Sri Lanka",167
13,"Sophia Gardens, Cardiff-England",192
14,"The Rose Bowl, Southampton-England",250
15,"Trent Bridge, Nottingham-England",246
16,"Edgbaston, Birmingham-England",203
17,"Kinrara Academy Oval, Kuala Lumpur-Malaysia",204
18,"Mangaung Oval, Bloemfontein-South Africa",262
19,"Buffalo Park, East London-South Africa",171
20,"Senwes Park, Potchefstroom-South Africa",246
21,"Punjab Cricket Association Stadium, Mohali, Chandigarh-India",256
22,"Sardar Patel Stadium, Motera, Ahmedabad-India",224
23,"Sawai Mansingh Stadium, Jaipur-India",235
24,"Brabourne Stadium, Mumbai-India",150
25,Mombasa Sports Club Ground-Kenya,224
26,"Kingsmead, Durban-South Africa",243
27,"Newlands, Cape Town-South Africa",243
28,"St George's Park, Port Elizabeth-South Africa",215
29,"Sheikh Abu Naser Stadium, Khulna-Bangladesh",199
30,"Willowmoore Park, Benoni-South Africa",219
31,"Shaheed Chandu Stadium, Bogra-Bangladesh",212
32,"SuperSport Park, Centurion-South Africa",231
33,"Iqbal Stadium, Faisalabad-Pakistan",197
34,"Shere Bangla National Stadium, Mirpur, Dhaka-Bangladesh",214
35,"Gaddafi Stadium, Lahore-Pakistan",248
36,Multan Cricket Stadium-Pakistan,226
37,"Zahur Ahmed Chowdhury Stadium, Chittagong-Bangladesh",183
38,"National Stadium, Karachi-Pakistan",250
39,"McLean Park, Napier-New Zealand",259
40,Queenstown Events Centre-New Zealand,120
41,"AMI Stadium, Christchurch-New Zealand",228
42,"Eden Park, Auckland-New Zealand",219
43,"Seddon Park, Hamilton-New Zealand",235
44,Melbourne Cricket Ground-Australia,240
45,"Bellerive Oval, Hobart-Australia",245
46,"Brisbane Cricket Ground, Woolloongabba, Brisbane-Australia",218
47,Sydney Cricket Ground-Australia,220
48,"Vidarbha C.A. Ground, Nagpur-India",319
49,Adelaide Oval-Australia,230
50,"Barabati Stadium, Cuttack-India",259
51,"MA Chidambaram Stadium, Chepauk, Chennai-India",225
52,"Western Australia Cricket Association Ground, Perth-Australia",227
53,"Jaffery Sports Club Ground, Nairobi-Kenya",219
54,"Ruaraka Sports Club Ground, Nairobi-Kenya",244
55,"Reliance Stadium, Vadodara-India",231
56,"Eden Gardens, Kolkata-India",242
57,"Madhavrao Scindia Cricket Ground, Rajkot-India",325
58,"Nehru Stadium, Fatorda, Margao-India",231
59,"New Wanderers Stadium, Johannesburg-South Africa",238
60,"Westpac Stadium, Wellington-New Zealand",208
61,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam-India",256
62,"Antigua Recreation Ground, St John's, Antigua-West Indies",227
63,"Sabina Park, Kingston, Jamaica-West Indies",221
64,"Warner Park, Basseterre, St Kitts-West Indies",247
65,"Beausejour Stadium, Gros Islet, St Lucia-West Indies",208
66,"Queen's Park Oval, Port of Spain, Trinidad-West Indies",199
67,"Sir Vivian Richards Stadium, North Sound, Antigua-West Indies",225
68,"Providence Stadium, Guyana-West Indies",211
69,"National Cricket Stadium, St George's, Grenada-West Indies",216
70,"Kensington Oval, Bridgetown, Barbados-West Indies",187
71,"Sheikh Zayed Stadium, Abu Dhabi-U.A.E.",231
72,"M Chinnaswamy Stadium, Bengaluru-India",268
73,"Castle Avenue, Dublin-Ireland",174
74,"P Sara Oval, Colombo-Sri Lanka",199
75,"R Premadasa Stadium, Khettarama, Colombo-Sri Lanka",214
76,"Titwood, Glasgow-Scotland",203
77,"Hazelaarweg, Rotterdam-Netherlands",177
78,"Queens Sports Club, Bulawayo-Zimbabwe",220
79,"County Ground, Bristol-England",204
80,Rangiri Dambulla International Stadium-Sri Lanka,201
81,"Nehru Stadium, Kochi-India",239
82,"Rajiv Gandhi International Stadium, Uppal, Hyderabad-India",273
83,"Sector 16 Stadium, Chandigarh-India",287
84,"Wankhede Stadium, Mumbai-India",256
85,"Nehru Stadium, Guwahati-India",222
86,"Green Park, Kanpur-India",263
87,"Captain Roop Singh Stadium, Gwalior-India",291
88,"Niaz Stadium, Hyderabad-Pakistan",238
89,Sheikhupura Stadium-Pakistan,184
90,"Manuka Oval, Canberra-Australia",285
91,"Arnos Vale Ground, Kingstown, St Vincent-West Indies",180
92,"Maple Leaf North-West Ground, King City-Canada",165
93,"Mannofield Park, Aberdeen-Scotland",202
94,"TIO Stadium, Darwin-Australia",147
95,"Diamond Oval, Kimberley-South Africa",263
96,"Holkar Cricket Stadium, Indore-India",280
97,Dubai International Cricket Stadium-U.A.E.,221
98,"Windsor Park, Roseau, Dominica-West Indies",247
99,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur-India",280
