,match_id,balls,score,wickets,ground,ground_average,wickets_remaining,powerplay_balls,non_powerplay_balls
0,1,215,157,4,Eden Gardens,242,6,0,85
1,2,215,168,4,County Ground,204,6,0,85
2,3,215,147,4,Kennington Oval,246,6,0,85
3,4,215,104,5,"Warner Park, Basseterre",247,5,0,85
4,5,215,226,2,Gaddafi Stadium,248,8,0,85
5,6,215,224,3,National Stadium,214,7,0,85
6,7,215,139,4,Lord's,233,6,0,85
7,8,215,208,3,"Sir Vivian Richards Stadium, North Sound",225,7,0,85
8,10,215,193,3,Nehru Stadium,231,7,0,85
9,10,215,200,3,Nehru Stadium,231,7,0,85
10,11,215,201,4,Sydney Cricket Ground,220,6,0,85
11,12,215,141,5,"Sir Vivian Richards Stadium, North Sound",225,5,0,85
12,13,215,177,4,Trent Bridge,246,6,0,85
13,15,215,170,6,Gaddafi Stadium,248,4,0,85
14,18,215,175,3,Sheikh Zayed Stadium,231,7,0,85
15,19,215,206,9,Pallekele International Cricket Stadium,250,1,0,85
16,20,215,174,3,Feroz Shah Kotla,250,7,0,85
17,21,215,194,5,New Wanderers Stadium,238,5,0,85
18,22,215,123,3,"Beausejour Stadium, Gros Islet",208,7,0,85
19,23,215,209,4,Sydney Cricket Ground,220,6,0,85
20,26,215,167,3,Newlands,243,7,0,85
21,27,215,168,3,Melbourne Cricket Ground,240,7,0,85
22,28,215,182,4,Hagley Oval,250,6,0,85
23,29,215,192,2,Sheikh Zayed Stadium,231,8,0,85
24,30,215,147,6,Greater Noida Sports Complex Ground,250,4,0,85
25,30,215,148,6,Greater Noida Sports Complex Ground,250,4,0,85
26,31,215,170,2,Khan Shaheb Osman Ali Stadium,250,8,0,85
27,32,215,217,2,Harare Sports Club,214,8,0,85
28,33,215,192,2,Sheikh Abu Naser Stadium,199,8,0,85
29,34,215,146,5,R Premadasa Stadium,214,5,0,85
30,35,215,140,4,Sharjah Cricket Stadium,250,6,0,85
31,36,215,155,4,Sheikh Zayed Stadium,231,6,0,85
32,37,215,186,1,Sheikh Zayed Stadium,231,9,0,85
33,38,215,174,3,Shere Bangla National Stadium,214,7,0,85
34,39,215,111,9,Westpac Stadium,208,1,0,85
35,40,215,208,2,Manuka Oval,285,8,0,85
36,41,215,145,3,P Saravanamuttu Stadium,250,7,0,85
37,42,215,148,7,Feroz Shah Kotla,250,3,0,85
38,43,215,145,3,New Wanderers Stadium,238,7,0,85
39,44,215,165,4,R Premadasa Stadium,214,6,0,85
40,45,215,211,4,Sophia Gardens,192,6,0,85
41,46,215,155,3,"Sardar Patel Stadium, Motera",224,7,0,85
42,47,215,156,4,"Sabina Park, Kingston",221,6,0,85
43,48,215,131,8,Sydney Cricket Ground,220,2,0,85
44,49,215,205,2,St George's Park,215,8,0,85
45,51,215,144,3,Queens Sports Club,220,7,0,85
46,52,215,160,5,Providence Stadium,211,5,0,85
47,53,215,175,6,SuperSport Park,231,4,0,85
48,54,215,148,5,Gymkhana Club Ground,193,5,0,85
49,55,215,166,3,Dubai International Cricket Stadium,221,7,0,85
50,56,215,105,5,VRA Ground,225,5,0,85
51,57,215,163,5,Melbourne Cricket Ground,240,5,0,85
52,58,215,212,2,National Stadium,214,8,0,85
53,59,215,142,6,Rangiri Dambulla International Stadium,201,4,0,85
54,60,215,193,3,SuperSport Park,231,7,0,85
55,61,215,246,4,McLean Park,259,6,0,85
56,63,215,192,3,Melbourne Cricket Ground,240,7,0,85
57,64,215,203,3,Eden Gardens,242,7,0,85
58,65,215,129,9,New Wanderers Stadium,238,1,0,85
59,66,215,143,6,Hagley Oval,250,4,0,85
60,67,215,181,3,"Punjab Cricket Association Stadium, Mohali",256,7,0,85
61,68,215,195,4,Sharjah Cricket Stadium,250,6,0,85
