,match_id,balls,score,wickets,ground,ground_average,wickets_remaining,powerplay_balls,non_powerplay_balls
0,1,215,168,8,Eden Gardens,242,2,0,85
1,3,215,186,1,Kennington Oval,246,9,0,85
2,5,215,203,3,Gaddafi Stadium,248,7,0,85
3,6,215,114,8,National Stadium,214,2,0,85
4,7,215,175,5,Lord's,233,5,0,85
5,8,215,156,6,"Sir Vivian Richards Stadium, North Sound",225,4,0,85
6,10,215,155,8,Nehru Stadium,231,2,0,85
7,11,215,220,4,Sydney Cricket Ground,220,6,0,85
8,12,215,140,8,"Sir Vivian Richards Stadium, North Sound",225,2,0,85
9,13,215,207,2,Trent Bridge,246,8,0,85
10,15,215,193,5,Gaddafi Stadium,248,5,0,85
11,18,215,139,7,Sheikh Zayed Stadium,231,3,0,85
12,20,215,170,3,Feroz Shah Kotla,250,7,0,85
13,21,215,212,6,New Wanderers Stadium,238,4,0,85
14,22,215,187,2,"Beausejour Stadium, Gros Islet",208,8,0,85
15,23,215,234,3,Sydney Cricket Ground,220,7,0,85
16,26,215,105,6,Newlands,243,4,0,85
17,27,215,162,6,Melbourne Cricket Ground,240,4,0,85
18,28,215,184,4,Hagley Oval,250,6,0,85
19,29,215,171,5,Sheikh Zayed Stadium,231,5,0,85
20,30,215,170,3,Greater Noida Sports Complex Ground,250,7,0,85
21,31,215,193,2,Khan Shaheb Osman Ali Stadium,250,8,0,85
22,32,215,208,2,Harare Sports Club,214,8,0,85
23,34,215,180,3,R Premadasa Stadium,214,7,0,85
24,36,215,157,4,Sheikh Zayed Stadium,231,6,0,85
25,37,215,152,7,Sheikh Zayed Stadium,231,3,0,85
26,38,215,185,7,Shere Bangla National Stadium,214,3,0,85
27,40,215,216,3,Manuka Oval,285,7,0,85
28,41,215,148,8,P Saravanamuttu Stadium,250,2,0,85
29,42,215,159,9,Feroz Shah Kotla,250,1,0,85
30,43,215,165,7,New Wanderers Stadium,238,3,0,85
31,44,215,143,6,R Premadasa Stadium,214,4,0,85
32,45,215,230,3,Sophia Gardens,192,7,0,85
33,46,215,135,7,"Sardar Patel Stadium, Motera",224,3,0,85
34,47,215,168,9,"Sabina Park, Kingston",221,1,0,85
35,49,215,188,5,St George's Park,215,5,0,85
36,51,215,190,2,Queens Sports Club,220,8,0,85
37,52,215,136,4,Providence Stadium,211,6,0,85
38,53,215,198,1,SuperSport Park,231,9,0,85
39,54,215,138,5,Gymkhana Club Ground,193,5,0,85
40,55,215,173,5,Dubai International Cricket Stadium,221,5,0,85
41,56,215,133,5,VRA Ground,225,5,0,85
42,57,215,159,3,Melbourne Cricket Ground,240,7,0,85
43,58,215,152,9,National Stadium,214,1,0,85
44,59,215,131,9,Rangiri Dambulla International Stadium,201,1,0,85
45,63,215,158,4,Melbourne Cricket Ground,240,6,0,85
46,64,215,199,5,Eden Gardens,242,5,0,85
47,64,215,200,5,Eden Gardens,242,5,0,85
48,67,215,171,6,"Punjab Cricket Association Stadium, Mohali",256,4,0,85
49,68,215,161,8,Sharjah Cricket Stadium,250,2,0,85
50,72,215,233,1,Harare Sports Club,214,9,0,85
51,74,215,183,6,R Premadasa Stadium,214,4,0,85
52,75,215,142,6,Gymkhana Club Ground,193,4,0,85
53,76,215,204,3,Sheikh Zayed Stadium,231,7,0,85
54,77,215,173,5,Shere Bangla National Stadium,214,5,0,85
55,78,215,137,4,Bay Oval,250,6,0,85
56,79,215,158,5,"Sabina Park, Kingston",221,5,0,85
57,80,215,159,4,"Nehru Stadium, Fatorda",231,6,0,85
58,83,215,152,3,Bellerive Oval,245,7,0,85
59,84,215,158,6,Kingsmead,243,4,0,85
60,85,215,141,5,"Arnos Vale Ground, Kingstown",180,5,0,85
61,86,215,116,7,Kinrara Academy Oval,204,3,0,85
62,87,215,159,4,New Wanderers Stadium,238,6,0,85
63,88,215,168,7,McLean Park,259,3,0,85
64,89,215,136,6,Shere Bangla National Stadium,214,4,0,85
65,90,215,192,6,Hagley Oval,250,4,0,85
66,91,215,152,8,Queens Sports Club,220,2,0,85
67,92,215,145,3,Edgbaston,203,7,0,85
68,93,215,158,9,Nehru Stadium,231,1,0,85
69,95,215,186,3,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,256,7,0,85
70,99,215,203,4,Headingley,283,6,0,85
71,102,215,188,5,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,256,5,0,85
72,103,215,159,4,Dubai International Cricket Stadium,221,6,0,85
73,104,215,177,3,"Brisbane Cricket Ground, Woolloongabba",218,7,0,85
74,105,215,210,4,Khan Shaheb Osman Ali Stadium,250,6,0,85
75,106,215,226,5,Sydney Cricket Ground,220,5,0,85
76,108,215,293,4,SuperSport Park,231,6,0,85
77,109,215,149,2,"Sabina Park, Kingston",221,8,0,85
78,110,215,179,4,"Sardar Patel Stadium, Motera",224,6,0,85
